requirement_id	area	decision	owner	gate	state	adr_section	specification	implementation	verification	revision
V2-ANA-004	analysis	Universe, source, source revision, symbol, occurrence, and fact identities have distinct explicit stability promises and never include checkout-local absolute paths.	Analysis identity	G2	qualified	Identity	analysis/identity/.spec/api.d.ts;analysis/.spec/laws/foundation.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/identity/model.ts;analysis/typescript/native/session.go;analysis/typescript/native/extract.go	__tests__/analysis-v2.test.ts;qualification/v2/extension/qualify.ts;.history/v2/evidence/g2-qualification.md;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-002.md;.history/v2/revisions/V2-REV-010.md;.history/v2/revisions/V2-REV-016.md
V2-ANA-005	analysis	Repository queries pin an atomic snapshot set containing the exact inventory revision and generation for every included project universe.	Analysis query	G2	qualified	Atomic generation lifecycle	analysis/query/.spec/api.d.ts	analysis/query/model.ts;analysis/internal/state.ts;analysis/memory/store.ts;analysis/sqlite/query/snapshot-set.ts;application/analysis/workspace.ts	__tests__/analysis-v2.test.ts;__tests__/application-checkpoint.test.ts;.history/v2/evidence/g2-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-017.md;.history/v2/revisions/V2-REV-018.md;.history/v2/revisions/V2-REV-027.md
V2-ANA-006	analysis	Versioned native and portable pass manifests form a capability-aware acyclic dependency graph.	Analysis passes	G2	qualified	Pass and policy model	analysis/pass/.spec/api.d.ts	analysis/pass/model.ts;analysis/pass/runner.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	.history/v2/revisions/V2-REV-016.md
V2-ANA-007	analysis	Incremental invalidation includes body and derived-fact dependencies, carries unaffected portable shards without reload or rewrite, and is differentially equivalent to a cold build.	Analysis invalidation	G2	qualified	Invalidation	analysis/typescript/.spec/api.d.ts;analysis/pass/.spec/api.d.ts;analysis/pass/.spec/laws/invalidation.ts;application/change/.spec/api.d.ts	analysis/typescript/pipeline.ts;analysis/typescript/native/session.go;analysis/typescript/universe-transaction.ts;analysis/pass/runner.ts;application/change/index.ts;application/observation/materialize.ts	__tests__/analysis-v2.test.ts;__tests__/application-change.test.ts;__tests__/repository-statistics-incremental.test.ts;qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-010.md;.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-016.md;.history/v2/revisions/V2-REV-027.md
V2-ANA-008	analysis	Optional pass failures commit explicit unavailable completion while mandatory, protocol, base, validation, or commit failures abort atomically.	Analysis lifecycle	G2	qualified	Pass and policy model	analysis/pass/.spec/api.d.ts;analysis/generation/.spec/api.d.ts	analysis/pass/runner.ts;analysis/typescript/pipeline.ts;analysis/internal/state.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	-
V2-ANA-009	analysis	Policies consume immutable portable facts and emit qualification diagnostics without mutating the fact generation.	Analysis policy	G2	qualified	Pass and policy model	analysis/policy/.spec/api.d.ts	analysis/policy/model.ts;analysis/policy/run.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-017.md
V2-ANA-010	analysis	Capability completeness is derived from every declared providing output shard and never inferred from capability and namespace name equality.	Analysis passes	G2	qualified	Pass and policy model	analysis/facts/.spec/api.d.ts;analysis/pass/.spec/api.d.ts;analysis/pass/.spec/laws/invalidation.ts	analysis/pass/runner.ts;analysis/internal/state.ts;analysis/sqlite/materialization/write.ts	__tests__/analysis-v2.test.ts	.history/v2/revisions/V2-REV-013.md
V2-ANA-011	analysis	A rule-scoped policy reports exact selected evidence completeness and incomplete selected evidence cannot produce pass or fail.	Analysis policy	G2	qualified	Pass and policy model	analysis/policy/.spec/api.d.ts;analysis/policy/.spec/laws/evaluation.ts	analysis/policy/model.ts;analysis/policy/run.ts	__tests__/analysis-v2.test.ts	.history/v2/revisions/V2-REV-013.md
V2-ANA-012	analysis	Requested native capabilities form a demand-driven projection plan whose emitted namespaces preserve exact portable identity across shallow and deep generations while unrequested semantic projectors do no work.	TypeScript projection	G6	qualified	Invalidation	analysis/typescript/.spec/architecture.md;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/projection.go;analysis/typescript/native/extract.go;analysis/typescript/native/session.go	qualification/v2/experiments/projection-plan.ts;qualification/v2/experiments/projection-project.ts;qualification/v2/experiments/qualify-projection.ts;.history/v2/evidence/demand-driven-projection.json	.history/v2/revisions/V2-REV-016.md;.history/v2/revisions/V2-REV-022.md
V2-ANA-013	analysis	Generation-pinned queries discover payload-free fact headers through the same filters, ordering, and identities as hydrated facts, then selectively hydrate exact requested payloads without touching unselected physical blocks; exact filtered totals are computed only when explicitly requested.	Analysis query	G6	qualified	Headless API and DX	analysis/query/.spec/api.d.ts;analysis/query/.spec/laws/hydration.ts;analysis/sqlite/.spec/laws/materialization.ts	analysis/facts/model.ts;analysis/internal/state.ts;analysis/sqlite/query/pinned.ts;analysis/sqlite/limits.ts;analysis/pass/runner.ts	__tests__/analysis-v2.test.ts	.history/v2/revisions/V2-REV-017.md;.history/v2/revisions/V2-REV-018.md;.history/v2/revisions/V2-REV-023.md
V2-ANA-014	analysis	Compiler-proven private edits reproject only affected semantic module owners while exact retained outbound edges reconstruct cross-owner inbound closure; source-revision, dependency, public-shape, global-diagnostic, topology, configuration, plugin, or uncertain changes conservatively expand.	TypeScript invalidation	G6	qualified	Invalidation	analysis/typescript/.spec/architecture.md;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/session.go;analysis/typescript/native/incremental_projection.go;analysis/typescript/native/module.go	qualification/v2/experiments/affected-shards.ts;qualification/v2/experiments/affected-project.ts;qualification/v2/experiments/qualify-affected.ts;.history/v2/evidence/affected-shard-qualification.json	.history/v2/revisions/V2-REV-019.md;.history/v2/revisions/V2-REV-021.md
V2-TS-001	typescript	The selected compiler substrate is ttsc and TypeScript-Go, qualified before production dependency.	TypeScript adapter	G1	qualified	ttsc integration and ownership	.history/adr/typespec-v2.md	analysis/typescript/ttsc/native.ts;qualification/v2/ttsc/qualify.ts	.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-010.md
V2-TS-002	typescript	The implementation pins exact ttsc, native binary, protocol, and TypeScript-Go revisions and treats upgrades as qualification events.	TypeScript adapter	G1	qualified	ttsc integration and ownership	.history/adr/typespec-v2.md	analysis/typescript/ttsc/native.ts;qualification/v2/ttsc/toolchain.json	.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-010.md
V2-TS-003	typescript	Compiler-near extraction runs in trusted Go while reusable derivation and policy run over portable facts in TypeScript.	TypeScript adapter	G2	qualified	Decision	analysis/typescript/.spec/architecture.md	analysis/typescript/native/main.go;analysis/typescript/value/evaluator.ts;analysis/policy/run.ts	.history/v2/evidence/ttsc-qualification.json;.history/v2/evidence/g2-reviews.md	-
V2-TS-004	typescript	Base TypeScript facts preserve every relevant import, export, access, construction, render, call, and other declared occurrence.	TypeScript facts	G2	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts	analysis/typescript/native/extract.go;analysis/typescript/native/body.go	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-002.md
V2-TS-005	typescript	Function bodies are exposed as a structured portable bounded IR rather than raw compiler AST nodes.	TypeScript body analysis	G2	qualified	Structured bounded body IR	analysis/typescript/body/.spec/api.d.ts	analysis/typescript/body/model.ts;analysis/typescript/native/body.go	__tests__/analysis-v2.test.ts;.history/v2/evidence/ttsc-qualification.json	-
V2-TS-006	typescript	The portable body IR contains per-function control-flow blocks and explicit branch, loop, exceptional, return, and fallthrough edges.	TypeScript body analysis	G2	qualified	Structured bounded body IR	analysis/typescript/body/.spec/api.d.ts	analysis/typescript/native/cfg.go;analysis/typescript/body/model.ts	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json	-
V2-TS-007	typescript	The portable body IR contains definitions, uses, assignments, and conservative reaching relationships.	TypeScript body analysis	G2	qualified	Structured bounded body IR	analysis/typescript/body/.spec/api.d.ts	analysis/typescript/native/body.go;analysis/typescript/body/model.ts	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json	-
V2-TS-008	typescript	Resolved calls retain receiver, signature, type arguments, argument occurrences, parameter binding, callbacks, and occurrence evidence.	TypeScript body analysis	G2	qualified	Structured bounded body IR	analysis/typescript/body/.spec/api.d.ts	analysis/typescript/native/body.go;analysis/typescript/body/model.ts	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json;.history/v2/evidence/demand-driven-projection.json	.history/v2/revisions/V2-REV-022.md
V2-TS-009	typescript	Interprocedural reasoning is summary-based, bounded, provenance-bearing, and explicit at recursion and dynamic escape points.	TypeScript derivation	G2	qualified	Structured bounded body IR	analysis/typescript/body/.spec/api.d.ts;analysis/typescript/value/.spec/api.d.ts	analysis/typescript/native/body.go;analysis/typescript/value/evaluator.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/ttsc-qualification.json	-
V2-TS-010	typescript	Bounded value evaluation returns exactly known, unknown, ambiguous, or unsupported with evidence and the exact effective governed limits.	TypeScript value analysis	G2	qualified	Value results	analysis/typescript/value/.spec/api.d.ts	analysis/typescript/value/evaluator.ts;analysis/typescript/value/limits.ts;analysis/typescript/native/body.go	__tests__/analysis-v2.test.ts;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-013.md
V2-TS-011	typescript	Portable consumers never receive live Go AST, Checker, compiler pointer, native wire, or ad hoc synchronous Checker RPC access.	TypeScript adapter	G2	qualified	ttsc integration and ownership	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/architecture.md	analysis/typescript/model.ts;analysis/protocol/model.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-TS-012	typescript	Missing ttsc seams are pursued upstream first; fallback ownership is a narrow visible fork and never a silent second checker.	TypeScript maintenance	G1	qualified	ttsc integration and ownership	.history/adr/typespec-v2.md	qualification/v2/ttsc/fixtures/adversarial/body-plugin/main.go	.history/v2/evidence/g1-qualification.md	-
V2-TS-013	typescript	Ordinary package consumers receive qualified built native binaries and do not require Go.	TypeScript release	G6	qualified	ttsc integration and ownership	analysis/typescript/distribution/.spec/api.d.ts;analysis/typescript/distribution/.spec/laws/release.ts	analysis/typescript/distribution/resolve.ts;scripts/native/assemble.mjs;scripts/native/assert-release.mjs	.github/workflows/native-release.yml;qualification/v2/release/packed-consumer.mjs;.history/v2/evidence/g6-qualification.md	.history/v2/revisions/V2-REV-015.md
V2-TS-014	typescript	A deduplicated module dependency has content-derived logical identity independent of traversal order and retains every contributing syntax or public-type occurrence as canonically ordered evidence.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/model.ts;analysis/typescript/native/dependency.go;conformance/module/profile.ts	qualification/v2/ttsc/qualify.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-002.md;.history/v2/revisions/V2-REV-009.md;.history/v2/revisions/V2-REV-012.md
V2-TS-015	typescript	Canonical public type facts preserve authored aliases and algebraic structure, resolve semantic targets and substitutions through ttsc, represent supported TypeScript intrinsics losslessly, and identify platform symbols without compiler byte offsets.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/surface/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/surface_type.go;analysis/typescript/native/module.go	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-003.md;.history/v2/revisions/V2-REV-007.md;.history/v2/revisions/V2-REV-009.md;.history/v2/revisions/V2-REV-012.md
V2-TS-016	typescript	Public API dependency closure includes every checker-resolved declaration reachable from an exported declaration, including platform and transitive workspace owners omitted by V1 traversal; partial type representation never erases independently resolved ownership.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/dependency.go	qualification/v2/ttsc/qualify.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-005.md;.history/v2/revisions/V2-REV-009.md;.history/v2/revisions/V2-REV-012.md;.history/v2/revisions/V2-REV-014.md
V2-TS-017	typescript	Public declaration identity uses portable source ownership and qualified authored symbol paths without compiler byte offsets, and remains stable when unrelated text is inserted before the declaration.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/surface/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/surface_identity.go	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-005.md;.history/v2/revisions/V2-REV-014.md
V2-TS-018	typescript	Package ownership resolves to the nearest named manifest and walks past nameless nested package metadata without leaking physical package-manager paths.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/module.go;analysis/typescript/native/dependency.go	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-005.md;.history/v2/revisions/V2-REV-014.md
V2-TS-019	typescript	Export facts retain the originating external package across local barrel forwarding while declaration identity resolves to the canonical Checker target.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/surface/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/surface_export.go	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-005.md;.history/v2/revisions/V2-REV-014.md
V2-TS-020	typescript	Duplicate error-code provenance is selected in portable lexical source order and is independent of compiler source traversal order.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/dependency.go	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-005.md;.history/v2/revisions/V2-REV-014.md
V2-TS-021	typescript	The qualified TypeScript-Go resolver owns the exact declaration file selected for a module specifier; package ownership is portable but provider-file provenance is never rewritten to imitate V1.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/dependency.go	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-006.md;.history/v2/revisions/V2-REV-014.md
V2-TS-022	typescript	Observation issues retain exact code, message, native source location, stable declaration provenance, and observed values; supported lossless surface shapes do not emit obsolete unsupported diagnostics.	TypeScript facts	G4	qualified	TypeScript semantic facts	analysis/typescript/.spec/api.d.ts;analysis/typescript/.spec/laws/semantics.ts	analysis/typescript/native/module.go;analysis/typescript/native/surface_type.go	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json	.history/v2/revisions/V2-REV-006.md;.history/v2/revisions/V2-REV-007.md;.history/v2/revisions/V2-REV-009.md;.history/v2/revisions/V2-REV-012.md;.history/v2/revisions/V2-REV-014.md
V2-TS-023	typescript	Downstream TypeScript consumers use a generation-pinned typed reader that admits namespace, schema, and portable payload shape instead of casting generic facts.	TypeScript facts	G6	qualified	TypeScript semantic facts	analysis/typescript/facts/.spec/api.d.ts;analysis/typescript/facts/.spec/laws/admission.ts	analysis/typescript/facts/reader.ts;analysis/typescript/facts/validate.ts	__tests__/analysis-v2.test.ts	.history/v2/revisions/V2-REV-013.md
V2-STO-001	persistence	Memory and SQLite implement and pass the same analysis store and query contracts.	Analysis persistence	G4	qualified	Materialization	analysis/query/.spec/api.d.ts;analysis/sqlite/.spec/laws/materialization.ts	analysis/memory/store.ts;analysis/sqlite/store.ts	__tests__/analysis-v2.test.ts;qualification/v2/materialization/qualify.ts;.history/v2/evidence/sqlite-qualification.json	.history/v2/revisions/V2-REV-008.md;.history/v2/revisions/V2-REV-017.md;.history/v2/revisions/V2-REV-018.md;.history/v2/revisions/V2-REV-023.md
V2-STO-002	persistence	A complete validated fact transaction becomes visible atomically or not at all while existing queries remain generation-pinned.	Analysis persistence	G2	qualified	Atomic generation lifecycle	analysis/query/.spec/api.d.ts;analysis/generation/.spec/api.d.ts	analysis/internal/state.ts;analysis/memory/store.ts;analysis/sqlite/store.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-STO-003	persistence	SQLite serializes writers across processes and retains current, previous, and actively leased generations safely.	SQLite materializer	G4	qualified	SQLite policy	analysis/sqlite/.spec/api.d.ts;analysis/sqlite/.spec/laws/materialization.ts	analysis/sqlite/lifecycle/leases.ts;analysis/sqlite/lifecycle/retention.ts;analysis/sqlite/store.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/sqlite-qualification.json	.history/v2/revisions/V2-REV-008.md
V2-STO-004	persistence	Store namespaces isolate repository instance, universe, producer, and worktree without sacrificing portable fact identities.	SQLite materializer	G4	qualified	SQLite policy	analysis/sqlite/.spec/architecture.md;analysis/sqlite/.spec/laws/materialization.ts	analysis/sqlite/schema/schema.ts;analysis/sqlite/store.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/sqlite-qualification.json	.history/v2/revisions/V2-REV-008.md
V2-STO-005	persistence	Caches are regenerable evidence, store no source bodies by default, and display source only after digest equality.	Analysis persistence	G4	qualified	SQLite policy	analysis/sqlite/.spec/architecture.md;analysis/source/.spec/laws/integrity.ts	analysis/sqlite/schema/integrity.ts;analysis/source/verify.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/sqlite-qualification.json	.history/v2/revisions/V2-REV-008.md
V2-STO-006	persistence	Unavailable persistence falls back to memory only when advisory; durable-store requirements fail explicitly.	Analysis persistence	G4	qualified	SQLite policy	analysis/sqlite/.spec/api.d.ts	analysis/store-selection.ts	__tests__/analysis-v2.test.ts	-
V2-STO-007	persistence	The production SQLite representation normalizes immutable generations, content-addressed shards, indexed fact envelopes, evidence, and inputs without whole-generation snapshot JSON; the interactive default independently addresses selected payloads.	SQLite materializer	G4	qualified	Codegraph integration decision gate	analysis/sqlite/.spec/architecture.md;analysis/sqlite/.spec/laws/materialization.ts	analysis/sqlite/schema/schema.ts;analysis/sqlite/materialization/write.ts;analysis/sqlite/query/pinned.ts;analysis/sqlite/limits.ts	__tests__/analysis-v2.test.ts;qualification/v2/materialization/qualify.ts;.history/v2/evidence/codegraph-spike.json;.history/v2/evidence/sqlite-qualification.json	.history/v2/revisions/V2-REV-008.md;.history/v2/revisions/V2-REV-017.md;.history/v2/revisions/V2-REV-018.md;.history/v2/revisions/V2-REV-023.md
V2-REP-001	repository	Repository inventory is independent of TypeScript project membership and owns portable file, ownership, Git, and classification evidence.	Repository analysis	G2	qualified	Repository analysis and filtering	repository/.spec/api.d.ts;repository/.spec/architecture.md	repository/model.ts;repository/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-REP-002	repository	Purpose, provenance, lifecycle, and delivery classifications remain independent and retain their rule evidence.	Repository analysis	G2	qualified	Repository analysis and filtering	repository/.spec/api.d.ts	repository/model.ts;repository/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	-
V2-REP-003	repository	Implementation, tests, fixtures, generated files, evidence, assets, and unknown files remain observable; filters select queries rather than deleting facts.	Repository analysis	G2	qualified	Repository analysis and filtering	repository/.spec/api.d.ts	repository/model.ts;repository/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	-
V2-REP-004	repository	Each tsconfig or project reference remains a distinct project universe and cross-universe facts are never conflated.	Repository analysis	G2	qualified	Repository analysis and filtering	repository/.spec/api.d.ts;analysis/typescript/.spec/api.d.ts	repository/model.ts;analysis/typescript/model.ts;analysis/typescript/native/session.go	qualification/v2/ttsc/qualify.ts;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-010.md;.history/v2/revisions/V2-REV-016.md
V2-REP-005	repository	Repository statistics retain immutable per-file byte and line facts plus orthogonal language, package, area, purpose, provenance, lifecycle, delivery, and deepest-root ownership projections.	Repository statistics	G5	qualified	Repository analysis and filtering	repository/statistics/.spec/api.d.ts;repository/statistics/.spec/laws/statistics.ts	repository/statistics/analyze.ts;repository/statistics/aggregate.ts;repository/statistics/grouping.ts	__tests__/repository-statistics.test.ts	.history/v2/revisions/V2-REV-013.md
V2-REP-006	repository	Repository source reads verify original bytes against the inventory, distinguish text from binary, retain binary byte totals without line claims, and bound UTF-8 reads explicitly.	Repository source	G5	qualified	Repository analysis and filtering	repository/.spec/api.d.ts;repository/source/.spec/api.d.ts;repository/statistics/.spec/laws/statistics.ts	repository/model.ts;repository/source/service.ts;source/file.ts;repository/statistics/analyze.ts	__tests__/repository-statistics.test.ts	.history/v2/revisions/V2-REV-013.md
V2-APP-001	application	One headless application refresh composes a coherent inventory, normative corpus, repository statistics, analysis snapshot set, observation facts, and qualifications without becoming semantic authority.	Codegraph application	G5	qualified	Application composition	application/.spec/api.d.ts;application/.spec/architecture.md;workspace/.spec/architecture.md	application/service.ts;application/snapshot/create.ts;application/checkpoint/checkpoint.ts;application/node/inventory.ts	__tests__/application-v2.test.ts;__tests__/application-checkpoint.test.ts;__tests__/application-node-inventory.test.ts;.history/v2/evidence/g5-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-024.md;.history/v2/revisions/V2-REV-027.md
V2-APP-002	application	Application readers lease one exact retained snapshot, inventory, and analysis generation set until disposal; portable identity excludes roots and timings; unchanged semantic requests reuse only the same inventory-pinned immutable corpus.	Codegraph application	G5	qualified	Application composition	application/.spec/api.d.ts;application/.spec/architecture.md;application/snapshot/.spec/api.d.ts;application/checkpoint/.spec/api.d.ts	application/service.ts;application/snapshot/create.ts;application/snapshot/coherence.ts;application/checkpoint/checkpoint.ts;application/node/inventory.ts	__tests__/application-v2.test.ts;__tests__/application-checkpoint.test.ts;__tests__/application-node-inventory.test.ts;.history/v2/evidence/g5-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-024.md;.history/v2/revisions/V2-REV-027.md
V2-APP-003	application	Full application selection is authoritative while focused selection records requested, primary, selected, support, included, and optional dependent closure as advisory.	Codegraph application	G5	qualified	Application composition	application/.spec/api.d.ts;application/selection/.spec/api.d.ts	application/selection/select.ts;application/service.ts	__tests__/application-v2.test.ts;.history/v2/evidence/g5-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-024.md
V2-APP-004	application	Layout, resolved-test, schema-dependency, presentation-context, and explicit module-binding observations remain separate versioned facts outside normative specification snapshots.	Codegraph observations	G5	qualified	Application composition	application/observation/.spec/api.d.ts;application/observation/.spec/architecture.md;analysis/binding/.spec/api.d.ts;specification/.spec/laws/authority.ts	application/observation/materialize.ts;compiler/application-binding.ts;compiler/application-binding-process.optimization.ts;application/observation/schema-dependency.ts	__tests__/application-v2.test.ts;__tests__/application-change.test.ts;__tests__/application-binding.test.ts;.history/v2/evidence/g5-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-027.md;.history/v2/revisions/V2-REV-029.md
V2-APP-005	application	Editing, reveal, and on-demand qualification transports require an admitted application generation and exact source revision.	Codegraph interactions	G5	qualified	Application composition	application/interaction/.spec/api.d.ts;application/interaction/.spec/architecture.md	application/interaction/editing.ts;application/interaction/reveal.ts;application/interaction/qualification.ts;server/catalog-checkpoint.ts	__tests__/analysis-v2.test.ts;__tests__/dev.test.ts;__tests__/catalog-transport.test.ts;.history/v2/evidence/g5-qualification.md	.history/v2/revisions/V2-REV-013.md;.history/v2/revisions/V2-REV-027.md
