drift_id	affected_requirements	classification	v1_observation	v2_decision	rationale	status	revision	verification
V2-DRIFT-011	V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	V1 often anchors a surface issue at the containing declaration and uses positional declaration IDs without retaining the observed unsupported display value.	V2 retains the exact native type-node column, stable declaration join, and observed value while semantic parity keeps code, message, source, and line exact.	Precise diagnostic provenance is more useful and truthful than a coarser compatibility location; every enriched issue remains enumerated and consumer output uses the unmodified V2 fact.	accepted	.history/v2/revisions/V2-REV-006.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-012	V2-TS-015;V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	V1 emits unsupported issues for a frozen set of primitive, object, symbol, index-signature-composition, and compatible declaration-merge shapes that its normalizer cannot prove.	V2 emits lossless source-semantic facts for those exact declarations and does not synthesize obsolete unsupported issues; parity requires a frozen match, retained declaration, no V2-only issue, and enumerated removal.	Unsupported is an epistemic result, not a compatibility decoration. Reproducing a known false positive would make policies less sound; broad missing-issue acceptance remains forbidden.	accepted	.history/v2/revisions/V2-REV-006.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-013	V2-TS-001;V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	For one frozen TS2345 diagnostic V1 flattens a Node-checker child message into the message string, while ttsc 0.26.2 exposes only the identical TypeScript-Go root message through its public driver diagnostic.	V2 retains the qualified ttsc root message and exact code and span; parity accepts only this one exact child-chain omission and records both messages as an upstream seam limitation.	Recomputing diagnostics through a second internal compiler path would duplicate ttsc filtering and preamble behavior. The root diagnostic remains authoritative and any additional message difference fails while a structured message-chain seam is pursued upstream.	superseded	.history/v2/revisions/V2-REV-006.md	qualification/v2/ttsc/qualify.ts;qualification/v2/conformance/module-parity.ts
V2-DRIFT-014	V2-TS-015;V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	V1 reports some uniquely bound generic parameters as unsupported types, including parameters owned by nested interface methods, conditional aliases, and generic callable returns.	V2 retains one exact lexical scope and index for each uniquely bound authored parameter and omits only the exact enumerated V1 false positives when the retained declaration proves both the binding and a matching parameter reference.	A generic constraint is not the parameter value, and reproducing the V1 warning would discard valid authored semantics. Ambiguous names and genuinely unbound infer parameters remain explicitly unsupported.	accepted	.history/v2/revisions/V2-REV-007.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-015	V2-TS-022;V2-CON-001;V2-CON-002;V2-QLF-011	defect-correction	The frozen V1 catalog contains 34 nested Shell specifications for which verification emitted no row after assigning one workspace-dependency blocker only to the Shell root.	V2 joins catalog presence separately from evidence availability and emits a complete qualification for every authored Shell specification; the exact 21 pass and 13 error results, diagnostics, and coverage remain content-addressed evidence.	A missing V1 row is not a passing result or a new V2 module. Per-module evidence exposes the underlying problems without multiplying one causal blocker or erasing the other authored contracts.	superseded	.history/v2/revisions/V2-REV-009.md	qualification/v2/conformance/oracle/compare.ts;qualification/v2/conformance/oracle/policy.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-016	V2-TS-014;V2-TS-016;V2-CON-001;V2-QLF-011	intentional-evolution	V1 coverage totals mix blocked authored obligations, observation-target rules, and an incomplete dependency closure, so equal semantic outcomes can have traversal- and availability-dependent counts.	V2 counts evaluated authored obligations forward and normalized observed facts inverse; blocked downstream profiles count no fabricated obligations, structure target presence is one forward obligation, and the complete portable dependency closure remains visible.	The directions now have stable reusable meaning and cannot hide unmatched evidence in each other. All 368 changed coverage payloads are pinned and reviewed independently of status and diagnostic acceptance.	superseded	.history/v2/revisions/V2-REV-009.md	conformance/.spec/laws/qualification.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-017	V2-CON-001;V2-CON-002;V2-QLF-011	intentional-evolution	For six authored authentication leaves without implementation targets, V1 emits one MODULE_TARGET_MISSING rule for every surface and dependency obligation and counts all of them as unmatched coverage.	V2 reports the structure absence once and blocks the two dependent profiles with causal MODULE_TARGET_UNAVAILABLE evidence and zero fabricated coverage obligations.	Both systems remain indeterminate, but V2 preserves the capability DAG cause and avoids presenting unavailable evidence as dozens of proven mismatches. The exact 12 profile diagnostic payloads are pinned.	accepted	.history/v2/revisions/V2-REV-009.md	conformance/module/profile.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-018	V2-TS-014;V2-TS-015;V2-TS-016;V2-TS-022;V2-CON-001;V2-CON-002;V2-QLF-011	defect-correction	V1 emits exact false findings for compiler-generation limits, positional or reduced type identities, incomplete public closure, callable aliases treated as values, and imports marked stale after a required surface slot becomes unavailable.	V2 removes only the 43 content-addressed status or diagnostic differences justified by accepted semantic revisions and the invoked-signature, exact-alias, closure, and causal-dependency regressions in V2-REV-009.	Reproducing these findings would weaken the V2 contract. Any added finding, removed witness, changed count, or unmatched diagnostic remains unexplained drift; genuine remaining Kernel findings are not normalized away.	superseded	.history/v2/revisions/V2-REV-009.md	qualification/v2/conformance/oracle/policy.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-019	V2-TS-015;V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	Eight V1 failing surface profiles diagnose a less precise public-type, ambiguity, heritage, member, or generic mismatch while omitting the exact mismatch or readonly obligation now available to V2.	V2 retains failure and replaces only those exact diagnostic multisets with identity-aware type, member, or readonly diagnostics grounded in the same authored and observed surfaces.	The finding is not suppressed; its causal code and count become more precise. The eight complete before-and-after multisets are content-addressed, and any additional diagnostic change fails.	superseded	.history/v2/revisions/V2-REV-009.md	conformance/module/comparison/evaluator.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-020	V2-TS-015;V2-TS-022;V2-CON-001;V2-CON-002;V2-QLF-011	defect-correction	Four V1 surface profiles aggregate to error because analyzer ambiguity or unsupported-shape diagnostics coexist with proven contract mismatches.	V2 resolves the unsupported evidence, retains the remaining proven mismatches, and therefore reports fail rather than error for the same four modules.	Error means the evaluator could not establish a judgment; fail means it did. Keeping error after exact evidence becomes available would misstate epistemic status, while the remaining failures and exact transition set stay visible.	superseded	.history/v2/revisions/V2-REV-009.md	conformance/module/profile.ts;qualification/v2/conformance/oracle/policy.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-021	V2-TS-014;V2-CON-001;V2-QLF-011	defect-correction	V1 injects dependency occurrences from external unowned package files into governed modules' inbound lists even though no governed source module owns those edges and no module has the corresponding outbound relationship.	V2 inbound relationships are the inverse projection of governed module facts only; parity excludes and enumerates an external edge only when its source is unowned, absent from the governed module set, and attributable to a portable package coordinate.	A directed module graph cannot contain a relationship whose source vertex is outside its vertex set. Retaining these V1 edges would make inbound and outbound queries disagree and leak checkout paths; genuinely governed or non-package missing edges still fail.	superseded	.history/v2/revisions/V2-REV-011.md	qualification/v2/conformance/oracle/external-inbound.ts;qualification/v2/conformance/module-parity.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-022	V2-SPC-002;V2-CON-001;V2-CON-002;V2-MIG-003;V2-QLF-001;V2-QLF-009;V2-QLF-011	intentional-evolution	The frozen V1 oracle contains 309 repository specifications, including Admin, Shell, Issues, and Events contracts that are no longer owned by the Kernel repository.	V2 derives its authoritative corpus from current authored specification sources, retains the immutable historical oracle, and projects that witness onto the exact discovered Kernel source set before comparison.	The active Kernel branch physically removes downstream application specifications. Preserving them as hidden parity inputs would make deleted ownership authoritative, while hard-coded domain excludes would overfit the repository. The generic source-identity projection keeps every retained Kernel row fail-closed and reports both excluded and newly absent source sets.	accepted	.history/v2/revisions/V2-REV-012.md	qualification/v2/history/evidence.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-023	V2-TS-014;V2-TS-016;V2-CON-001;V2-QLF-011	intentional-evolution	The frozen current-Kernel V1 coverage projections mix blocked authored obligations, observation-target rules, and an incomplete dependency closure in 223 exact profile differences.	V2 counts evaluated authored obligations forward and normalized observed facts inverse; blocked profiles count no fabricated obligations, structure target presence is one forward obligation, and complete portable dependency closure remains visible.	The 223 content-addressed witnesses are an exact subset of the previously audited 368; the other 145 belonged only to deleted downstream application specifications. Any changed or added current witness fails.	accepted	.history/v2/revisions/V2-REV-012.md	conformance/.spec/laws/qualification.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-024	V2-TS-014;V2-TS-015;V2-TS-016;V2-TS-022;V2-CON-001;V2-CON-002;V2-QLF-011	defect-correction	The current Kernel V1 oracle retains 20 false status or diagnostic findings caused by positional or reduced identities, incomplete public closure, callable aliases treated as values, and causal dependency bookkeeping.	V2 removes only those 20 content-addressed findings under the existing semantic regressions and accepted corrections.	The 20 witnesses are an exact subset of the prior 43; every removed witness belonged to a deleted downstream application specification. Newly removed, added, or changed current findings remain unexplained.	accepted	.history/v2/revisions/V2-REV-012.md	qualification/v2/history/evidence.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-025	V2-TS-015;V2-TS-022;V2-CON-001;V2-QLF-011	defect-correction	Five current Kernel V1 failing surface profiles diagnose a less precise public-type, ambiguity, heritage, member, or generic mismatch while omitting the exact mismatch or readonly obligation available to V2.	V2 retains failure and replaces only those five exact diagnostic multisets with identity-aware diagnostics grounded in the same authored and observed surfaces.	The five complete before-and-after multisets are an exact subset of the previously audited eight; no current finding is suppressed, and any additional refinement fails.	accepted	.history/v2/revisions/V2-REV-012.md	compiler/application-binding.ts;conformance/module/profile.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
V2-DRIFT-026	V2-TS-015;V2-TS-022;V2-CON-001;V2-CON-002;V2-QLF-011	defect-correction	Two current Kernel V1 surface profiles aggregate to error because analyzer ambiguity or unsupported-shape diagnostics coexist with proven contract mismatches.	V2 resolves the unsupported evidence, retains the proven mismatches, and reports fail for those same two modules.	Error means judgment was unavailable while fail means it was established. The two transitions are an exact subset of the prior four and any changed current transition fails.	accepted	.history/v2/revisions/V2-REV-012.md	conformance/module/profile.ts;qualification/v2/history/evidence.ts;__tests__/conformance-v2.test.ts;.history/v2/evidence/g4-conformance.json
